phase theta,reflectance
169.985,0.000153806
155.978,2.92321e-05
174.265,0.000207946
162.376,5.0256e-05
170.329,0.000164299
155.987,2.86231e-05
174.229,0.000204987
162.36,5.0964e-05
170.308,0.000164096
156.009,2.93699e-05
174.194,0.000204038
162.341,5.1084e-05
170.269,0.000161936
156.028,2.88994e-05
174.162,0.000202572
162.336,5.06297e-05
170.237,0.000160871
156.068,2.66684e-05
174.132,0.000199855
162.332,5.06673e-05
170.209,0.000160161
156.099,2.76738e-05
174.103,0.000199127
162.334,5.03833e-05
170.178,0.000158249
156.137,2.86896e-05
174.076,0.000197689
162.34,5.07727e-05
170.157,0.0001579
156.177,2.94412e-05
174.05,0.000196322
162.342,5.03567e-05
170.134,0.000156966
156.224,2.98014e-05
174.029,0.000193894
162.297,5.02214e-05
170.116,0.000155594
156.28,2.73359e-05
174.006,0.000192746
162.298,4.97566e-05
170.098,0.00015514
173.988,0.000194096
162.258,4.98047e-05
170.09,0.000154647
156.396,2.66021e-05
173.971,0.000193691
162.29,4.95873e-05
170.083,0.000154162
156.461,3.00597e-05
173.957,0.000191663
162.328,4.99424e-05
170.078,0.000153892
156.531,2.90508e-05
173.941,0.000190135
162.361,4.96427e-05
170.073,0.000153214
156.598,2.94788e-05
173.932,0.000190094
162.412,4.98266e-05
170.079,0.000153422
156.679,3.01121e-05
173.922,0.000192765
162.457,4.92716e-05
170.081,0.000153109
156.759,2.98431e-05
173.914,0.00019151
162.511,4.95633e-05
170.089,0.000152017
156.846,3.05304e-05
173.909,0.000190412
162.571,4.88589e-05
170.103,0.000152137
156.938,3.09718e-05
173.906,0.000189761
162.632,4.8377e-05
170.116,0.000151779
157.028,2.90536e-05
173.902,0.000189404
162.695,4.81713e-05
170.131,0.00015139
157.123,2.89888e-05
173.901,0.000187777
162.763,4.78874e-05
170.151,0.000151415
157.22,3.01103e-05
173.907,0.000189285
162.847,4.78015e-05
170.178,0.000151885
157.336,3.12847e-05
173.909,0.000187625
162.922,4.7886e-05
170.202,0.000152384
157.437,3.20453e-05
173.919,0.000188122
163.016,4.80298e-05
170.24,0.000152787
