Optical constants of epsomite (Mg SO_4 . 7 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound 
1.014000E+00,1.449951E+00,2.574442E-06,1.449927E+00,3.861475E-06,1.449963E+00,1.930732E-06
1.017000E+00,1.449951E+00,2.593249E-06,1.449926E+00,3.890265E-06,1.449963E+00,1.944934E-06
1.020000E+00,1.449950E+00,2.604382E-06,1.449925E+00,3.906385E-06,1.449963E+00,1.953380E-06
1.023000E+00,1.449950E+00,2.609325E-06,1.449925E+00,3.913993E-06,1.449962E+00,1.956797E-06
1.026000E+00,1.449949E+00,2.612305E-06,1.449924E+00,3.918464E-06,1.449962E+00,1.959421E-06
1.029000E+00,1.449949E+00,2.610573E-06,1.449923E+00,3.915864E-06,1.449962E+00,1.957731E-06
1.032000E+00,1.449948E+00,2.600170E-06,1.449923E+00,3.900652E-06,1.449961E+00,1.950125E-06
1.035000E+00,1.449948E+00,2.582202E-06,1.449922E+00,3.873504E-06,1.449961E+00,1.936943E-06
1.038000E+00,1.449947E+00,2.559358E-06,1.449921E+00,3.839043E-06,1.449961E+00,1.919712E-06
1.041000E+00,1.449947E+00,2.528834E-06,1.449920E+00,3.793257E-06,1.449960E+00,1.896623E-06
1.044000E+00,1.449946E+00,2.477492E-06,1.449920E+00,3.715848E-06,1.449960E+00,1.857918E-06
1.047000E+00,1.449946E+00,2.413497E-06,1.449919E+00,3.620450E-06,1.449959E+00,1.810021E-06
1.050000E+00,1.449945E+00,2.335947E-06,1.449918E+00,3.504125E-06,1.449959E+00,1.751758E-06
1.053000E+00,1.449945E+00,2.255117E-06,1.449917E+00,3.383080E-06,1.449959E+00,1.691335E-06
